UF,V1022,V2001,V2005,V2007,V2009,V2010,V3001,V3009A,VD4019
23.0,1.0,3.0,5.0,2.0,25.0,5.0,1.0,10.0,1320.0
23.0,1.0,5.0,5.0,2.0,60.0,5.0,1.0,10.0,
23.0,1.0,2.0,5.0,2.0,59.0,1.0,1.0,7.0,
23.0,2.0,2.0,1.0,1.0,86.0,4.0,1.0,5.0,
23.0,2.0,1.0,1.0,1.0,62.0,4.0,1.0,10.0,
23.0,2.0,5.0,1.0,2.0,44.0,4.0,1.0,,5000.0
23.0,2.0,2.0,1.0,2.0,63.0,4.0,2.0,5.0,
23.0,2.0,1.0,1.0,1.0,47.0,1.0,1.0,7.0,100.0
23.0,2.0,4.0,4.0,2.0,11.0,4.0,1.0,,
23.0,2.0,4.0,2.0,2.0,61.0,1.0,1.0,5.0,
23.0,2.0,5.0,4.0,1.0,8.0,4.0,1.0,,
23.0,2.0,2.0,1.0,1.0,60.0,1.0,1.0,7.0,
23.0,2.0,8.0,10.0,2.0,6.0,1.0,2.0,,
23.0,1.0,2.0,1.0,2.0,79.0,4.0,1.0,5.0,
23.0,1.0,4.0,2.0,1.0,41.0,4.0,1.0,7.0,600.0
23.0,1.0,4.0,5.0,2.0,9.0,4.0,1.0,,
23.0,1.0,2.0,1.0,1.0,44.0,1.0,1.0,7.0,700.0
23.0,2.0,4.0,4.0,2.0,6.0,4.0,1.0,,
23.0,2.0,2.0,1.0,1.0,47.0,4.0,1.0,3.0,500.0
23.0,2.0,2.0,2.0,2.0,55.0,4.0,1.0,10.0,
23.0,2.0,2.0,1.0,1.0,76.0,1.0,1.0,3.0,
23.0,2.0,2.0,1.0,1.0,78.0,4.0,2.0,3.0,
23.0,2.0,5.0,4.0,1.0,0.0,4.0,,,
23.0,2.0,5.0,2.0,1.0,48.0,4.0,1.0,7.0,
23.0,2.0,5.0,5.0,1.0,24.0,4.0,1.0,10.0,
23.0,2.0,2.0,1.0,2.0,70.0,4.0,1.0,12.0,
23.0,2.0,5.0,1.0,2.0,32.0,4.0,1.0,10.0,
23.0,1.0,1.0,1.0,2.0,68.0,1.0,1.0,10.0,300.0
23.0,1.0,3.0,4.0,2.0,9.0,4.0,1.0,,
23.0,1.0,2.0,1.0,2.0,44.0,4.0,1.0,7.0,1320.0
23.0,2.0,2.0,1.0,2.0,59.0,4.0,2.0,3.0,300.0
23.0,2.0,2.0,2.0,1.0,57.0,4.0,2.0,,
23.0,1.0,3.0,1.0,2.0,54.0,4.0,1.0,10.0,
23.0,1.0,3.0,1.0,2.0,26.0,4.0,1.0,12.0,1330.0
23.0,1.0,2.0,1.0,1.0,65.0,1.0,1.0,5.0,
23.0,1.0,4.0,2.0,1.0,45.0,4.0,1.0,12.0,6000.0
23.0,1.0,4.0,4.0,1.0,5.0,4.0,1.0,,
23.0,1.0,4.0,1.0,1.0,50.0,4.0,1.0,7.0,1000.0
23.0,1.0,5.0,4.0,2.0,5.0,2.0,2.0,,
23.0,1.0,3.0,8.0,2.0,90.0,4.0,2.0,5.0,
23.0,1.0,6.0,2.0,1.0,79.0,4.0,2.0,3.0,
23.0,2.0,2.0,5.0,1.0,13.0,4.0,1.0,,
23.0,2.0,3.0,4.0,1.0,0.0,4.0,,,
23.0,2.0,1.0,1.0,1.0,39.0,4.0,1.0,7.0,
23.0,2.0,4.0,4.0,2.0,9.0,4.0,1.0,,
23.0,2.0,3.0,2.0,2.0,33.0,4.0,1.0,7.0,
23.0,1.0,3.0,4.0,1.0,12.0,4.0,1.0,,
23.0,1.0,3.0,1.0,1.0,50.0,4.0,1.0,10.0,
23.0,1.0,2.0,5.0,1.0,7.0,4.0,1.0,,
23.0,2.0,5.0,2.0,1.0,25.0,4.0,1.0,10.0,1000.0
23.0,2.0,3.0,5.0,2.0,16.0,1.0,1.0,,
23.0,2.0,4.0,4.0,1.0,9.0,4.0,1.0,,
23.0,2.0,2.0,1.0,1.0,57.0,1.0,1.0,7.0,5000.0
23.0,2.0,9.0,4.0,1.0,12.0,4.0,1.0,,
23.0,2.0,9.0,4.0,1.0,6.0,4.0,2.0,,
23.0,2.0,3.0,1.0,1.0,46.0,4.0,1.0,7.0,600.0
23.0,1.0,3.0,1.0,2.0,38.0,4.0,1.0,10.0,1320.0
23.0,1.0,3.0,2.0,1.0,41.0,4.0,1.0,10.0,1320.0
23.0,1.0,5.0,2.0,2.0,70.0,4.0,2.0,3.0,
23.0,1.0,2.0,1.0,1.0,34.0,4.0,1.0,10.0,1320.0
23.0,1.0,1.0,1.0,1.0,53.0,2.0,2.0,5.0,
23.0,2.0,3.0,1.0,1.0,60.0,4.0,1.0,6.0,
23.0,2.0,4.0,1.0,2.0,35.0,4.0,1.0,3.0,
23.0,2.0,3.0,1.0,1.0,56.0,2.0,1.0,3.0,
23.0,1.0,5.0,14.0,2.0,35.0,4.0,1.0,7.0,
23.0,1.0,4.0,1.0,2.0,51.0,1.0,1.0,10.0,1900.0
23.0,1.0,1.0,1.0,2.0,69.0,2.0,1.0,8.0,
23.0,1.0,1.0,1.0,2.0,46.0,4.0,1.0,8.0,
23.0,1.0,6.0,3.0,2.0,32.0,4.0,1.0,10.0,1320.0
23.0,1.0,6.0,10.0,2.0,4.0,4.0,,,
23.0,1.0,2.0,1.0,2.0,62.0,4.0,1.0,12.0,
23.0,1.0,3.0,1.0,1.0,24.0,2.0,1.0,,450.0
23.0,1.0,6.0,4.0,1.0,39.0,4.0,1.0,10.0,200.0
23.0,1.0,3.0,1.0,2.0,47.0,4.0,1.0,7.0,800.0
23.0,1.0,2.0,10.0,1.0,24.0,4.0,1.0,10.0,
23.0,1.0,3.0,1.0,2.0,46.0,4.0,1.0,7.0,200.0
23.0,1.0,3.0,5.0,2.0,12.0,4.0,1.0,,
23.0,2.0,3.0,5.0,2.0,17.0,4.0,1.0,,
23.0,2.0,3.0,2.0,1.0,28.0,4.0,1.0,7.0,
23.0,2.0,2.0,1.0,1.0,62.0,4.0,2.0,5.0,
23.0,1.0,1.0,1.0,1.0,21.0,4.0,1.0,,
23.0,2.0,2.0,5.0,1.0,29.0,4.0,1.0,10.0,300.0
23.0,1.0,3.0,2.0,2.0,52.0,4.0,1.0,,
23.0,1.0,3.0,4.0,1.0,27.0,1.0,1.0,,1800.0
23.0,2.0,1.0,1.0,2.0,95.0,1.0,2.0,3.0,
23.0,2.0,3.0,2.0,1.0,34.0,1.0,1.0,10.0,1000.0
23.0,1.0,4.0,1.0,2.0,36.0,4.0,1.0,7.0,
23.0,1.0,2.0,2.0,2.0,51.0,4.0,1.0,7.0,700.0
23.0,1.0,3.0,5.0,2.0,43.0,4.0,1.0,10.0,1320.0
23.0,1.0,1.0,1.0,1.0,54.0,4.0,1.0,3.0,660.0
23.0,1.0,4.0,2.0,2.0,65.0,1.0,1.0,7.0,
23.0,1.0,3.0,4.0,2.0,8.0,1.0,1.0,,
23.0,1.0,3.0,1.0,1.0,73.0,4.0,1.0,12.0,
23.0,1.0,3.0,4.0,2.0,34.0,1.0,1.0,12.0,3000.0
23.0,2.0,3.0,1.0,1.0,22.0,4.0,1.0,10.0,400.0
23.0,2.0,3.0,1.0,2.0,64.0,1.0,2.0,,
23.0,2.0,1.0,1.0,1.0,62.0,4.0,2.0,,
23.0,1.0,3.0,2.0,1.0,30.0,4.0,1.0,10.0,
23.0,1.0,4.0,4.0,1.0,3.0,4.0,,,
23.0,1.0,6.0,2.0,2.0,39.0,4.0,1.0,7.0,
23.0,1.0,3.0,1.0,2.0,48.0,4.0,1.0,10.0,
23.0,1.0,7.0,1.0,2.0,70.0,4.0,1.0,9.0,
23.0,1.0,7.0,6.0,1.0,8.0,4.0,1.0,,
